rollout/ep_len_mean,time/iterations,time/fps,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,train/explained_variance,train/policy_gradient_loss,train/learning_rate,train/entropy_loss,train/loss,train/value_loss,train/clip_fraction,train/n_updates,train/clip_range,train/approx_kl
5.85,11,130,22528,0.6042158007621765,172,0.32525038719177246,-0.03997667791845742,0.0003,-4.129218642413616,0.47436410188674927,0.4860942792147398,0.4662109375,100,0.2,0.05386453
5.84,12,130,24576,0.6473857164382935,188,0.2657806873321533,-0.03987282164744101,0.0003,-4.110000170022249,0.19179454445838928,0.5940848146332428,0.48291015625,110,0.2,0.06383499
5.77,13,130,26624,0.7648006677627563,204,0.3134942650794983,-0.03698548712709453,0.0003,-4.052553174644709,0.32692021131515503,0.5179707048460841,0.493115234375,120,0.2,0.05422467
5.88,14,130,28672,0.5648007392883301,220,0.2411515712738037,-0.03866887809708715,0.0003,-4.020764299482107,0.33855462074279785,0.6667021000990644,0.497998046875,130,0.2,0.060196996
5.88,15,130,30720,0.5740638375282288,236,0.25682467222213745,-0.03470785789832007,0.0003,-4.0171174362301825,0.0748787596821785,0.618887412827462,0.478564453125,140,0.2,0.06695323
5.84,16,130,32768,0.6213856935501099,252,0.22531801462173462,-0.043504260867484844,0.0003,-3.968874154239893,0.06943679600954056,0.560484986670781,0.51875,150,0.2,0.0644208
5.78,17,129,34816,0.6693856716156006,267,0.2914413809776306,-0.03519534222141374,0.0003,-3.863913132995367,0.56886887550354,0.6160705218557269,0.499169921875,160,0.2,0.060836688
5.92,18,129,36864,0.47680073976516724,284,0.2705143094062805,-0.04010263793752529,0.0003,-3.8333361484110355,0.1010892242193222,0.6790038819657639,0.54951171875,170,0.2,0.07317523
5.87,19,129,38912,0.6723858118057251,300,0.27240949869155884,-0.0366419572965242,0.0003,-3.786363723874092,0.30933353304862976,0.556246397877112,0.508251953125,180,0.2,0.072084814
5.85,20,128,40960,0.650215744972229,317,0.2486000657081604,-0.041698066765093245,0.0003,-3.785580687969923,0.1628701537847519,0.6057847410673276,0.535009765625,190,0.2,0.07136093
5.7,21,128,43008,0.8553857207298279,333,0.2821754217147827,-0.034600199601845814,0.0003,-3.737879651039839,-0.0016348809003829956,0.5256233410676941,0.503466796875,200,0.2,0.06738142
5.91,22,128,45056,0.595385730266571,349,0.2750633955001831,-0.03123043098457856,0.0003,-3.7044108703732492,0.1546584516763687,0.6650720920413733,0.508447265625,210,0.2,0.06459831
5.85,23,128,47104,0.69580078125,365,0.2566925883293152,-0.037779075023718175,0.0003,-3.689053825289011,0.026434816420078278,0.6243276248686016,0.5107421875,220,0.2,0.07229744
5.97,24,128,49152,0.422800749540329,381,0.2466198205947876,-0.03506207394821104,0.0003,-3.7167201645672323,0.6329799890518188,0.6049143511103466,0.512646484375,230,0.2,0.08070884
5.86,25,128,51200,0.6073856949806213,397,0.3133092522621155,-0.03055234272615053,0.0003,-3.6878698483109473,0.23098328709602356,0.49330933056771753,0.52265625,240,0.2,0.08350624
5.68,26,128,53248,0.882385790348053,413,0.2712542414665222,-0.03344700706365984,0.0003,-3.6347350738942623,0.0801805928349495,0.5368848189944402,0.509228515625,250,0.2,0.07201307
5.87,27,128,55296,0.6325783729553223,430,0.2690514326095581,-0.037266521618585104,0.0003,-3.519630765914917,0.06440246850252151,0.7091934393392876,0.57099609375,260,0.2,0.0796115
5.97,28,128,57344,0.5272157788276672,446,0.28277820348739624,-0.03292832149018068,0.0003,-3.4481265865266324,0.4311469793319702,0.7264773356961086,0.542724609375,270,0.2,0.09012345
5.68,29,128,59392,0.8693856596946716,462,0.2801293730735779,-0.030286646680906415,0.0003,-3.379537699371576,0.0938522219657898,0.6869770423742011,0.51015625,280,0.2,0.08500017
5.78,30,128,61440,0.7163857221603394,478,0.27615851163864136,-0.0270618896902306,0.0003,-3.2658197671175,0.3580695688724518,0.7236539250006899,0.523046875,290,0.2,0.10238691
5.73,31,128,63488,0.9288007616996765,494,0.22607922554016113,-0.026462974009336903,0.0003,-3.175226040184498,0.05737965553998947,0.9309413430280984,0.523388671875,300,0.2,0.1085698
5.66,32,128,65536,0.9548007845878601,509,0.28909605741500854,-0.018969188717892393,0.0003,-3.055851337313652,0.41788414120674133,0.8228473000694067,0.48427734375,310,0.2,0.07757767
5.67,33,128,67584,0.8513858318328857,525,0.2704150676727295,-0.02498341866012197,0.0003,-3.020564761757851,0.11891578137874603,0.9030177845153957,0.503466796875,320,0.2,0.10654213
5.94,34,128,69632,0.5076307654380798,541,0.2817358374595642,-0.021550615283194928,0.0003,-2.9893847621977327,0.3190433979034424,1.0422131697181611,0.481591796875,330,0.2,0.087878875
5.67,35,128,71680,1.0323857069015503,557,0.30095404386520386,-0.02583519278850872,0.0003,-2.925492442399263,0.28880131244659424,0.5843001024564728,0.50029296875,340,0.2,0.08986808
5.68,36,128,73728,0.9513856768608093,573,0.27049708366394043,-0.02217138966661878,0.0003,-2.8832798153162003,0.5173345804214478,1.0371294006705285,0.485546875,350,0.2,0.0880768
5.87,37,128,75776,0.6323856711387634,589,0.2684250473976135,-0.02391610437189229,0.0003,-2.8874090284109117,0.8001947999000549,1.055562272388488,0.485546875,360,0.2,0.08697957
5.6,38,128,77824,1.0373855829238892,605,0.2756834626197815,-0.019889552098175046,0.0003,-2.785856056958437,0.43942248821258545,1.041989547945559,0.494580078125,370,0.2,0.09169328
5.53,39,128,79872,1.0663857460021973,622,0.2964601516723633,-0.018452811968745663,0.0003,-2.752498872578144,0.5259677767753601,1.0650490679312496,0.476513671875,380,0.2,0.10595092
5.68,40,128,81920,0.8842158317565918,638,0.2844046950340271,-0.02024037036753725,0.0003,-2.690524992346764,0.6056252121925354,1.3331975987181068,0.485791015625,390,0.2,0.103438765
5.53,41,128,83968,1.2388006448745728,655,0.27908027172088623,-0.02023490331484936,0.0003,-2.7361099176108836,0.6346682906150818,1.3619549402035773,0.47841796875,400,0.2,0.08617279
5.71,42,127,86016,0.8248007893562317,672,0.2649346590042114,-0.02031344670103863,0.0003,-2.683995754271746,0.4456165134906769,1.2327685129828752,0.48359375,410,0.2,0.10396826
5.39,43,127,88064,1.444800853729248,688,0.25842714309692383,-0.019523883081274108,0.0003,-2.6646436184644697,1.0619221925735474,1.3761229068040848,0.470458984375,420,0.2,0.10410702
5.67,44,127,90112,0.9493857622146606,704,0.2798731327056885,-0.017869585860171355,0.0003,-2.590385866910219,0.3785414397716522,1.5472749577835203,0.473974609375,430,0.2,0.10628383
5.54,45,127,92160,1.2473857402801514,720,0.27024906873703003,-0.01791429869190324,0.0003,-2.556268272548914,0.9688481688499451,1.5280407584272324,0.491259765625,440,0.2,0.09217716
5.46,46,127,94208,1.2673858404159546,736,0.268004834651947,-0.01438319246226456,0.0003,-2.507903827726841,1.2543421983718872,1.4043459333479404,0.486279296875,450,0.2,0.097169295
